Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
The Last of Us,'NaT',0.35,0.0,0.0,Paul DeNinno Braun,"Short, Drama, Horror",8.1,86,N/A,N/A
Di hou wu gong dui,'01/01/1995',0.003054,0.0,0.0,"Ning Kang, Xianhe Lei",War,5.6,5,N/A,N/A
Hellraiser,'NaT',5e-06,0.0,0.0,Clive Barker,"Horror, Thriller",7.0,"82,262",N/A,New World Video
A Daughter of the West,'01/01/1918',0.001923,0.0,0.0,William Bertram,Western,N/A,N/A,N/A,N/A
The International,'03/02/2009',2.402189,50000000.0,60161391.0,Tom Tykwer,"Action, Crime, Drama",6.5,"82,837","$25,450,527",Sony Pictures/Columbia
M'Al Hahuravot,'02/01/1938',0.001882,0.0,0.0,"Nathan Axelrod, Alfred Wolf",Drama,N/A,N/A,N/A,N/A
Los nadie,'04/09/2016',0.089906,0.0,0.0,Juan Sebastian Mesa,N/A,7.6,23,N/A,N/A
Shirli-Myrli,'06/06/1995',0.309284,1200000.0,0.0,Vladimir Menshov,Comedy,7.1,"1,200",N/A,N/A
Molly's Pilgrim,'01/01/1985',5e-06,0.0,0.0,Jeffrey D. Brown,Short,8.3,39,N/A,N/A
How People Got Fire,'12/02/2009',0.0075,0.0,0.0,Daniel Janke,"Animation, Short",6.0,32,N/A,N/A
Trianon,'04/06/2005',0.00375,0.0,0.0,Gábor Koltay,Documentary,4.6,317,N/A,N/A
Vlad Tepes,'08/01/1979',0.000297,0.0,0.0,Doru Nastase,"Drama, History",7.9,678,N/A,N/A
Aamdani Atthanni Kharcha Rupaiya,'21/12/2001',0.174505,0.0,0.0,"K. Raghavendra Rao, A.S. Ravindra Babu","Comedy, Drama",4.5,738,N/A,N/A
Roaring Roads,'12/04/1935',0.144864,0.0,0.0,"Ray Nazarro, Charles E. Roberts","Action, Crime, Romance",5.1,27,N/A,N/A
Kater,'13/02/2016',0.119644,0.0,0.0,Merijn Bernat,"Short, Comedy",6.3,6,N/A,N/A
Subtotal,'22/06/2014',0.091806,0.0,0.0,Gunhild Enger,"Short, Comedy, Drama",5.4,8,N/A,N/A
Fire!,'08/05/1977',0.017857,0.0,0.0,Alan Arkin,Comedy,5.5,303,N/A,N/A
Amapola Del Camino,'17/09/1937',0.003531,0.0,0.0,"Juan Bustillo Oro, Antonio Guzmán Aguilera","Musical, Drama",6.5,8,N/A,N/A
It Had to Be You,'01/12/1947',0.001969,0.0,0.0,"Don Hartman, Rudolph Maté","Comedy, Fantasy, Romance",6.7,507,N/A,Columbia Pictures
Canine Patrol,'07/12/1945',0.001931,0.0,0.0,Charles A. Nichols,"Family, Comedy, Animation",6.5,158,N/A,N/A
Auge/Maschine III,'01/01/2003',0.029065,0.0,0.0,Harun Farocki,"Documentary, Short",6.2,6,N/A,N/A
The Trouble with Bliss,'01/10/2011',1.188783,0.0,0.0,Michael Knowles,"Comedy, Drama",5.4,"2,149","$10,911",7A Productions/Variance Films
Ayalvasi Oru Daridravasi,'07/11/1986',0.0,0.0,0.0,Priyadarshan,Comedy,7.7,34,N/A,N/A
A Muddy Romance,'19/11/1913',0.003108,0.0,0.0,Mack Sennett,"Comedy, Short",4.8,95,N/A,N/A
Anijam,'01/01/1984',0.006925,0.0,0.0,Marv Newland,"Animation, Short",6.9,46,N/A,N/A
Black Star and the Golden Bat,'12/05/1979',0.002963,0.0,0.0,Heon-myeong Han,Animation,2.8,13,N/A,N/A
Roberta,'01/11/2014',0.028693,0.0,0.0,Caroline Monnet,"Short, Comedy, Drama",7.1,7,N/A,N/A
Tu Hai Mera Sunday,'15/10/2016',0.237591,0.0,0.0,Milind Dhaimade,"Comedy, Drama",8.2,112,N/A,N/A
Alive in the Deep,'07/05/1941',0.014781,0.0,0.0,N/A,"Documentary, Short",N/A,N/A,N/A,N/A
Majesty,'12/05/2009',0.007506,0.0,0.0,N/A,"Documentary, Music",8.9,27,N/A,N/A
Free Lisl: Fear & Loathing in Denver,'17/11/2006',0.006221,0.0,0.0,Wayne Ewing,N/A,8.8,11,N/A,N/A
Los Tentados,'16/04/2013',0.016877,0.0,0.0,Mariano Blanco,N/A,5.4,17,N/A,N/A
Wenn die Sonne wieder scheint,'01/01/1943',0.00459,0.0,0.0,Boleslaw Barlog,N/A,6.8,16,N/A,N/A
A Stranger in Town,'NaT',0.002,0.0,0.0,Roy Rowland,"Drama, Romance",7.2,352,N/A,MGM
